Tamanho;Bolha;Selecao;Insercao;Shell;Radix;Merge;Quick
16;11;4;5;5;51;13;3
32;35;10;14;14;89;20;6
64;135;29;48;47;172;46;10
128;530;102;180;165;347;123;18
256;1975;315;510;398;456;106;24
512;5673;969;1973;1539;916;219;49
1024;22652;3808;7481;5981;1863;450;100
2048;89573;15104;29694;23878;3722;922;211
4096;357773;60235;118963;94254;7490;2007;435
8192;1435733;242927;478435;374978;14825;4021;898
16384;5744623;975070;1899815;1496316;30669;8425;1936
32768;22980504;3899630;7600992;5977944;66765;17854;3957
65536;92135161;15618357;30374179;23846341;160483;41554;8070
131072;0;0;0;0;326132;79324;16583
262144;0;0;0;0;795765;193104;34516
524288;0;0;0;0;1691965;448693;72640
1048576;0;0;0;0;3636179;927259;148041
2097152;0;0;0;0;7341273;1780701;299417
4194304;0;0;0;0;15448928;4055242;620108
8388608;0;0;0;0;31828477;8161559;1278396
16777216;0;0;0;0;66001730;18215470;2632715
